team,team_abbreviation
Arizona Diamondbacks,ARI
Atlanta Braves,ATL
Baltimore Orioles,BAL
Boston Red Sox,BOS
Chicago Cubs,CHC
Chicago White Sox,CHW
Cincinnati Reds,CIN
Cleveland Indians,CLE
Colorado Rockies,COL
Detroit Tigers,DET
Houston Astros,HOU
Kansas City Royals,KCR
Los Angeles Angels,LAA
Los Angeles Dodgers,LAD
Miami Marlins,MIA
Milwaukee Brewers,MIL
Minnesota Twins,MIN
New York Mets,NYM
New York Yankees,NYY
Oakland Athletics,OAK
Philadelphia Phillies,PHI
Pittsburgh Pirates,PIT
St. Louis Cardinals,STL
San Diego Padres,SDP
San Francisco Giants,SFG
Seattle Mariners,SEA
Tampa Bay Rays,TBR
Texas Rangers,TEX
Toronto Blue Jays,TOR
Washington Nationals,WSN
Los Angeles Angel,LAA
St. Louis Cadinals,STL
Cleveland Guardians,CLE
Arizona D-backs,ARI
Oakland Aâ€™s,OAK
