player,pa_tbf,contestant,draft_year,key_bbref_minors
Yamaico Navarro,0,b_lindbergh,2014,navarr001yam
Fernando Martinez,0,b_lindbergh,2014,martin005jes
Reid Brignac,91,b_lindbergh,2014,brigna001rei
Travis Blackley,0,b_lindbergh,2014,blackl001tra
Alex Liddi,0,b_lindbergh,2014,liddi-001ale
Jonathan Albaladejo,0,b_lindbergh,2014,albala001jon
Cory Wade,0,b_lindbergh,2014,wade--001cor
Quintin Berry,2,b_lindbergh,2014,berry-001qui
Bill Bray,0,b_lindbergh,2014,bray--001wil
Mark Rogers,0,b_lindbergh,2014,rogers002mar
Shawn Camp,15,s_miller,2014,camp--001sha
Matt LaPorta,0,s_miller,2014,laport001mat
Aaron Laffey,0,s_miller,2014,laffey001aar
Ben Francisco,0,s_miller,2014,franci001lou
Ross Wolf,0,s_miller,2014,wolf--001ros
Jonathan Sanchez,0,s_miller,2014,sanche002jon
Ezequiel Carrera,73,s_miller,2014,carrer001eze
Tommy Layne,76,s_miller,2014,layne-001tho
Steven Tolleson,189,s_miller,2014,tolles001ste
Ed Easley,0,s_miller,2014,easley001ed-
John Axford,250,b_lindbergh,2015,axford001joh
Joe Savery,0,b_lindbergh,2015,savery001joe
Deibinson Romero,0,b_lindbergh,2015,romero001dei
Jonathan Herrera,132,b_lindbergh,2015,herrer001jon
Clayton Richard,181,b_lindbergh,2015,richar001cla
Jonathan Galvez,0,b_lindbergh,2015,galvez001jon
Cord Phelps,0,b_lindbergh,2015,phelps001rob
Scott Sizemore,0,b_lindbergh,2015,sizemo001sco
Mike Baxter,66,b_lindbergh,2015,baxter001mic
Buck Britton,0,b_lindbergh,2015,britto001buc
Radhames Liz,106,s_miller,2015,liz---001rad
Chris Volstad,7,s_miller,2015,volsta001chr
Rafael Betancourt,175,s_miller,2015,betanc001raf
Nick Noonan,24,s_miller,2015,noonan001nic
Caleb Gindl,0,s_miller,2015,gindl-001cal
Pat Venditte,119,s_miller,2015,vendit001pat
Rene Garcia,0,s_miller,2015,garcia003ren
Brandon Allen,0,s_miller,2015,allen-002bra
David Aardsma,129,s_miller,2015,aardsm001dav
Sebastian Valle,0,s_miller,2015,valle-001seb
Emilio Bonifacio,43,b_lindbergh,2016,bonifa001emi
Hak-Ju Lee,0,b_lindbergh,2016,lee---001hak
Rafael Ortega,202,b_lindbergh,2016,ortega002raf
Andury Acevedo,0,b_lindbergh,2016,aceved001and
Jio Mier,0,b_lindbergh,2016,mier--001jio
Buddy Baumann,40,b_lindbergh,2016,bauman001geo
Cesar Vargas,154,b_lindbergh,2016,vargas001ces
Trey Haley,0,b_lindbergh,2016,haley-001cur
Blake Wood,330,b_lindbergh,2016,wood--001bla
Ji-man Choi,129,b_lindbergh,2016,choi--001ji-
Dayan Viciedo,0,s_miller,2016,vicied001day
Pete Kozma,0,s_miller,2016,kozma-001pet
Jim Henderson,155,s_miller,2016,hender004jam
Casey Kotchman,0,s_miller,2016,kotchm001cas
Jarrett Grube,0,s_miller,2016,grube-001jar
Jeff Beliveau,0,s_miller,2016,belive001jef
Clay Rapada,0,s_miller,2016,rapada001cla
Dayan Diaz,36,s_miller,2016,diaz--001day
Anthony Recker,112,s_miller,2016,recker001ant
Jean Machi,0,s_miller,2016,machi-001jea
Lisalverto Bonilla,172,b_lindbergh,2017,bonill001lis
Ryan LaMarre,8,b_lindbergh,2017,lamarr001rya
Orlando Calixte,55,b_lindbergh,2017,caxito001orl
Michael Choice,0,b_lindbergh,2017,choice001mic
Michael McKenry,0,b_lindbergh,2017,mckenr001mic
J.B. Shuck,0,b_lindbergh,2017,shuck-001jac
Ben Rowen,0,b_lindbergh,2017,rowen-001ben
Cesar Ramos,0,b_lindbergh,2017,ramos-001ces
Cesar Valdez,140,b_lindbergh,2017,valdez001ces
Kraig Sitton,0,b_lindbergh,2017,sitton001kra
Jacob Turner,170,s_miller,2017,turner002jac
Craig Stammen,329,s_miller,2017,stamme001cra
Maikel Cleto,0,s_miller,2017,cleto-001mai
Brett Oberholtzer,0,s_miller,2017,oberho001bre
Tim Federowicz,14,s_miller,2017,federo001tim
Jaff Decker,62,s_miller,2017,decker001jaf
Lane Adams,122,s_miller,2017,adams-001lan
T.J. House,10,s_miller,2017,house-001tj-
Cory Burns,0,s_miller,2017,burns-001cor
Hernan Iribarren,0,s_miller,2017,iribar001her
Rafael Ortega,143,s_miller,2018,ortega002raf
Ryan Carpenter,107,s_miller,2018,carpen001rya
Chris Carter,0,s_miller,2018,carter001ver
Colten Brewer,49,s_miller,2018,brewer000col
Richard Rodriguez,279,s_miller,2018,rodrig010ric
Wade LeBlanc,662,s_miller,2018,leblan001wad
Cristhian Adames,0,s_miller,2018,adames001cri
Dylan Unsworth,0,s_miller,2018,unswor001dyl
Erik Johnson,0,s_miller,2018,johnso009eri
Evan Grills,0,s_miller,2018,grills001eva
Dario Alvarez,0,j_sullivan,2018,alvare001dar
Anthony Gose,0,j_sullivan,2018,gose--001ant
Kris Medlen,25,j_sullivan,2018,medlen001kri
Dustin Ackley,0,j_sullivan,2018,ackley001dus
Perci Garner,0,j_sullivan,2018,garner001per
Casey Lawrence,106,j_sullivan,2018,lawren001cas
Mike Kickham,0,j_sullivan,2018,kickha001mic
Brooks Pounders,72,j_sullivan,2018,pounde001bro
Forrest Snow,0,j_sullivan,2018,snow--001for
Matt Purke,0,j_sullivan,2018,purke-001mat
Scott Barlow,65,b_lindbergh,2018,barlow000sco
Mark Montgomery,0,b_lindbergh,2018,montgo000mar
Michael Kelly,0,b_lindbergh,2018,kelly-011mic
Ronny Rodriguez,206,b_lindbergh,2018,rodrig003ron
Jumbo Diaz,0,b_lindbergh,2018,diaz--007jos
Willians Astudillo,97,b_lindbergh,2018,astudi001wil
Kevin Comer,0,b_lindbergh,2018,comer-000kev
John Andreoli,67,b_lindbergh,2018,andreo000joh
Christian Lopes,0,b_lindbergh,2018,lopes-000chr
Curt Casali,156,b_lindbergh,2018,casali000cur
Dylan Moore,292,s_miller,2019,moore-000dyl
Kyle Ryan,263,s_miller,2019,ryan--001kyl
Zach McAllister,0,s_miller,2019,mcalli001zac
Ryan Court,25,s_miller,2019,court-000rya
Hunter Cervenka,0,s_miller,2019,cerven001hun
Vidal Nuno,0,s_miller,2019,nuno--001vid
John Lamb,0,s_miller,2019,lamb--003joh
Dilson Herrera,0,s_miller,2019,herrer000dil
Deolis Guerra,6,s_miller,2019,guerra001deo
Clint Coulter,0,s_miller,2019,coulte000cli
Ryan Merritt,0,s_miller,2019,merrit000rya
R.J. Alaniz,72,j_sullivan,2019,alaniz001rub
Harold Ramirez,446,j_sullivan,2019,ramire002har
Luke Bard,199,j_sullivan,2019,bard--001luk
Brandon Brennan,195,j_sullivan,2019,brenna001bra
Erik Johnson,0,j_sullivan,2019,johnso009eri
Asher Wojciechowski,362,j_sullivan,2019,wojcie001ran
Rookie Davis,52,j_sullivan,2019,davis-024wil
Ariel Hernandez,0,j_sullivan,2019,hernan002ari
Jairo Diaz,245,j_sullivan,2019,diaz--003jai
Allen Craig,0,j_sullivan,2019,craig-002all
Josh Lucas,69,j_sullivan,2019,lucas-002jos
Terrance Gore,58,b_lindbergh,2019,gore--000ter
Kieran Lovegrove,0,b_lindbergh,2019,lovegr000kie
Deven Marrero,5,b_lindbergh,2019,marrer001dev
Kelby Tomlinson,0,b_lindbergh,2019,tomlin000kel
Jake Petricka,36,b_lindbergh,2019,petric001jac
Kyle Zimmer,102,b_lindbergh,2019,zimmer000kyl
Jon Berti,287,b_lindbergh,2019,berti-001jon
Rymer Liriano,0,b_lindbergh,2019,lirian001rym
Mason Williams,34,b_lindbergh,2019,willia001mas
Ryan Lamarre,26,b_lindbergh,2019,lamarr001rya
Santiago Casilla,0,b_lindbergh,2019,casill001san
Patrick Wisdom,2,m_rowley,2020,wisdom000pat
Shao-Ching Chiang,0,m_rowley,2020,chiang000sha
Jimmy Yacabonis,13,m_rowley,2020,yacabo000jim
Erik Kratz,39,m_rowley,2020,kratz-001eri
Aaron Northcraft,0,m_rowley,2020,northc001aar
Pedro Payano,0,m_rowley,2020,payano000ped
Matt Szczur,0,m_rowley,2020,szczur001mat
Greg Holland,112,m_rowley,2020,hollan001gre
Sicnarf Loopstock,0,m_rowley,2020,loopst000sic
Ryan Lavarnway,11,m_rowley,2020,lavarn001rya
Kyle Finnegan,107,s_miller,2020,finneg000kyl
Matt Harvey,65,s_miller,2020,harvey001mat
Socrates Brito,0,s_miller,2020,brito-001soc
Caleb Thielbar,82,s_miller,2020,thielb001cal
Phillip Evans,45,s_miller,2020,evans-002phi
Danny Coulombe,13,s_miller,2020,coulom001dan
Ryan Cordell,8,s_miller,2020,cordel000rya
Jose Marmolejos,115,s_miller,2020,godoy-000jos
Tyler Heineman,53,s_miller,2020,heinem000tyl
Ryan Merritt,0,s_miller,2020,merrit000rya
Jose Mujica,23,b_lindbergh,2020,mujica001jos
Alexander Guillen,0,b_lindbergh,2020,guille000ado
Brady Lail,71,b_lindbergh,2020,lail--000bra
Max Moroff,0,b_lindbergh,2020,moroff000max
Gosuke Katoh,0,b_lindbergh,2020,katoh-000gos
Jaime Schultz,0,b_lindbergh,2020,schult000jai
Kohl Stewart,0,b_lindbergh,2020,stewar000koh
Eric Stamets,0,b_lindbergh,2020,stamet000eri
Mickey Jannis,0,b_lindbergh,2020,jannis001mic
Rosell Herrera,0,b_lindbergh,2020,herrer001ros
Mike Foltynewicz,586,b_lindbergh,2021,foltyn001mic
Sam McWilliams,0,b_lindbergh,2021,mcwill000sam
Pedro Strop,10,b_lindbergh,2021,strop-001ped
Dwight Smith Jr.,0,b_lindbergh,2021,smith-000dwi
Luis Avilan,0,b_lindbergh,2021,avilan001lui
Nabil Crismatt,351,b_lindbergh,2021,crisma000nab
Alexander Guillen,0,b_lindbergh,2021,guille000ado
Scott Schebler,34,b_lindbergh,2021,schebl001sco
Rafael Ortega,330,b_lindbergh,2021,ortega002raf
Tzu-Wei Lin,0,b_lindbergh,2021,lin---000tzu
Jason Vosler,82,m_rowley,2021,vosler000jas
Sam Clay,214,m_rowley,2021,clay--000sam
Joe Gatto,0,m_rowley,2021,gatto-000joe
Tyler Heineman,0,m_rowley,2021,heinem000tyl
Michael Ynoa,0,m_rowley,2021,ynoa--001mic
Anthony Gose,24,m_rowley,2021,gose--001ant
Connor Joe,211,m_rowley,2021,joe---000con
Michael Hermosillo,38,m_rowley,2021,hermos000mig
Gerson Bautista,0,m_rowley,2021,bautis001ger
Yunior Marte,0,m_rowley,2021,marte-000yun
José Iglesias,467,b_clemens,2022,iglesi001jos
Maikel Franco,388,b_clemens,2022,franco001mai
Shed Long Jr.,0,b_clemens,2022,long--000she
Ty Blach,193,b_clemens,2022,blach-000ty-
Anthony Bemboom,59,b_clemens,2022,bemboo000ant
Kyle McGowin,0,b_clemens,2022,mcgowi000kyl
Zack Erwin,0,b_clemens,2022,erwin-000zac
Jon Duplantier,0,b_clemens,2022,duplan000jon
Christian Bethancourt,352,b_clemens,2022,betanc001chr
Richard Urena,0,b_clemens,2022,urena-000ric
Brett Sullivan,0,m_rowley,2022,sulliv003bre
Nick Plummer,31,m_rowley,2022,plumme000nic
Christin Stewart,0,m_rowley,2022,stewar004chr
Jhonny Pereda,0,m_rowley,2022,pereda000jho
Dalton Kelly,0,m_rowley,2022,kelly-002dal
Jake Newberry,0,m_rowley,2022,newber000jak
Ryan Castellani,11,m_rowley,2022,castel002rya
Dillon Thomas,14,m_rowley,2022,thomas000dil
Hobie Harris,0,m_rowley,2022,harris000hob
Jeison Guzman,0,m_rowley,2022,guzman000jei
Joshua Fuentes,0,b_lindbergh,2022,fuente001jos
Mark Leiter Jr.,282,b_lindbergh,2022,leiter002mar
Matt Shoemaker,0,b_lindbergh,2022,shoema002mat
Magneuris Sierra,96,b_lindbergh,2022,sierra000mag
Johneshwy Fargas,0,b_lindbergh,2022,fargas000joh
Jake Bauers,0,b_lindbergh,2022,bauers000jak
Yolmer Sánchez,50,b_lindbergh,2022,sanche008car
Alex Blandino,0,b_lindbergh,2022,blandi000ale
Tyler White,0,b_lindbergh,2022,white-002tyl
Braden Bishop,0,b_lindbergh,2022,bishop002bra
Blake Perkins,168,m_rowley,2023,perkin000bla
Casey Sadler,0,m_rowley,2023,sadler001cas
Cole Tucker,10,m_rowley,2023,tucker000col
Hobie Harris,91,m_rowley,2023,harris000hob
Brent Honeywell,235,m_rowley,2023,honeyw002bre
Cody Poteet,0,m_rowley,2023,poteet001cod
Daniel Zamora,0,m_rowley,2023,zamora000dan
Garrett Williams,0,m_rowley,2023,willia007gar
Jacob Nottingham,0,m_rowley,2023,nottin000jac
Trenton Brooks,0,m_rowley,2023,brooks000tre
Guillermo Zuniga,0,b_lindbergh,2023,zuniga000gui
Angel Perdomo,117,b_lindbergh,2023,perdom000ang
Victor Reyes,0,b_lindbergh,2023,reyes-002vic
Oscar Mercado,0,b_lindbergh,2023,mercad000osc
Jakson Reetz,0,b_lindbergh,2023,reetz-000jak
Travis Blankenhorn,37,b_lindbergh,2023,blanke002tra
Pablo Reyes,198,b_lindbergh,2023,reyes-004pab
Jonathan Villar,0,b_lindbergh,2023,villan001jon
Jose De Leon,0,b_lindbergh,2023,deleon012jos
Joe Rizzo,0,b_lindbergh,2023,rizzo-000joe
Justin Garza,91,b_clemens,2023,garza-002jus
Franmil Reyes,65,b_clemens,2023,reyes-003fra
Jake Marisnick,83,b_clemens,2023,marisn001jac
James Norwood,0,b_clemens,2023,norwoo000jam
Christin Stewart,0,b_clemens,2023,stewar004chr
Stephen Piscotty,0,b_clemens,2023,piscot001ste
Derek Hill,50,b_clemens,2023,hill--000der
Caleb Baragar,0,b_clemens,2023,barage000cal
Daniel Ponce de Leon,0,b_clemens,2023,ponced001dan
Zach Muckenhirn,31,b_clemens,2023,mucken000zac
