player_name,team,fa_class,position
Kyle Dowdy ,Cleveland Guardians,2022,RHP
Heath Fillmyer ,Cleveland Guardians,2022,RHP
Gianpaul Gonzalez ,Cleveland Guardians,2022,C
Cameron Hill ,Cleveland Guardians,2022,RHP
Juan Hillman ,Cleveland Guardians,2022,LHP
Matt Koch ,Cleveland Guardians,2022,RHP
Tyler Krieger ,Cleveland Guardians,2022,SS
Connor Marabell ,Cleveland Guardians,2022,OF
Andruw Monasterio ,Cleveland Guardians,2022,IF
Jordan Stephens ,Cleveland Guardians,2022,RHP
Daniel Young ,Cleveland Guardians,2022,LHP
Yency Almonte ,Colorado Rockies,2022,RHP
Wynton Bernard ,Colorado Rockies,2022,OF
Greg Bird ,Colorado Rockies,2022,1B
Scott Burcham ,Colorado Rockies,2022,SS
Ryan Castellani ,Colorado Rockies,2022,RHP
Ian Clarkin ,Colorado Rockies,2022,LHP
Logan Cozart ,Colorado Rockies,2022,RHP
Breiling Eusebio ,Colorado Rockies,2022,LHP
Conor Fisk ,Colorado Rockies,2022,RHP
Josh Fuentes ,Colorado Rockies,2022,1B
Max George ,Colorado Rockies,2022,C
Jose Gomez ,Colorado Rockies,2022,IF
Brian Gonzalez ,Colorado Rockies,2022,LHP
Nelson Gonzalez ,Colorado Rockies,2022,RHP
Rayan Gonzalez ,Colorado Rockies,2022,RHP
Javier Guevara ,Colorado Rockies,2022,C
David Hill ,Colorado Rockies,2022,RHP
Nick Longhi ,Colorado Rockies,2022,OF
Manuel Melendez ,Colorado Rockies,2022,OF
Michael Petersen ,Colorado Rockies,2022,RHP
Chris Rabago ,Colorado Rockies,2022,C
Dereck Rodriguez ,Colorado Rockies,2022,RHP
Zac Rosscup ,Colorado Rockies,2022,LHP
Tate Scioneaux ,Colorado Rockies,2022,RHP
Jesus Tinoco ,Colorado Rockies,2022,RHP
Jack Wynkoop ,Colorado Rockies,2022,LHP
Jose Appleton ,Detroit Tigers,2022,RHP
Juan Centeno ,Detroit Tigers,2022,C
Cale Coshow ,Detroit Tigers,2022,RHP
Isrrael De La Cruz ,Detroit Tigers,2022,RHP
Yariel Gonzalez ,Detroit Tigers,2022,2B
Drew Hutchison ,Detroit Tigers,2022,RHP
Xavier Javier ,Detroit Tigers,2022,RHP
Mark Leiter Jr. ,Detroit Tigers,2022,RHP
Josh Lester ,Detroit Tigers,2022,3B
Henry Martinez ,Detroit Tigers,2022,RHP
Gerson Moreno ,Detroit Tigers,2022,RHP
Pedro Payano ,Detroit Tigers,2022,RHP
Ricardo Pinto ,Detroit Tigers,2022,RHP
Wladimir Pinto ,Detroit Tigers,2022,RHP
Aderlin Rodriguez ,Detroit Tigers,2022,3B
Robert Ross ,Detroit Tigers,2022,LHP
Zach Shepherd ,Detroit Tigers,2022,RHP
Locke St. John ,Detroit Tigers,2022,LHP
Christin Stewart ,Detroit Tigers,2022,OF
Drew Ward ,Detroit Tigers,2022,3B
Drew Butera ,Houston Astros,2022,C
Riley Ferrell ,Houston Astros,2022,RHP
Robel Garcia ,Houston Astros,2022,2B
C.J. Hinojosa ,Houston Astros,2022,SS
Michael Kelly ,Houston Astros,2022,RHP
Brandon Lawson ,Houston Astros,2022,RHP
Jon Olczak ,Houston Astros,2022,RHP
Nolan Riggs ,Houston Astros,2022,RHP
Leovanny Rodriguez ,Houston Astros,2022,RHP
Miguelangel Sierra ,Houston Astros,2022,SS
Felipe Tejada ,Houston Astros,2022,RHP
Jacob Wilson ,Houston Astros,2022,2B
Jason Alexander ,Miami Marlins,2022,RHP
Ricky Aracena ,Miami Marlins,2022,SS
Cody Carroll,Miami Marlins,2022,RHP
Chris Chinea ,Miami Marlins,2022,1B
Galli Cribbs ,Miami Marlins,2022,IF
Brett Eibner ,Miami Marlins,2022,RHP
Dustin Fowler ,Miami Marlins,2022,OF
Alberto Guerrero ,Miami Marlins,2022,RHP
Alexander Guillen ,Miami Marlins,2022,RHP
Jorge Guzman ,Miami Marlins,2022,RHP
Connor Justus ,Miami Marlins,2022,SS
Zack Kone ,Miami Marlins,2022,SS
Brandon Leibrandt ,Miami Marlins,2022,LHP
Luis Marte ,Miami Marlins,2022,SS
Mason Melotakis ,Miami Marlins,2022,LHP
Jose Mesa ,Miami Marlins,2022,RHP
Brian Navarreto ,Miami Marlins,2022,C
Matt Pobereyko ,Miami Marlins,2022,RHP
Marcos Rivera ,Miami Marlins,2022,SS
Magneuris Sierra ,Miami Marlins,2022,OF
Eddy Tavarez ,Miami Marlins,2022,RHP
Justin Twine ,Miami Marlins,2022,2B
Rob Zastryzny ,Miami Marlins,2022,LHP
Zack Zehner ,Miami Marlins,2022,OF
R.J. Alvarez ,Milwaukee Brewers,2022,RHP
Keon Broxton ,Milwaukee Brewers,2022,OF
Jesus Castillo ,Milwaukee Brewers,2022,RHP
Leonardo Crawford ,Milwaukee Brewers,2022,LHP
Derek Fisher ,Milwaukee Brewers,2022,OF
Zach Green,Milwaukee Brewers,2022,3B
Brooks Hall ,Milwaukee Brewers,2022,RHP
Blaine Hardy ,Milwaukee Brewers,2022,LHP
Christian Kelley ,Milwaukee Brewers,2022,C
Matt Lipka ,Milwaukee Brewers,2022,OF
Mitch Longo ,Milwaukee Brewers,2022,OF
Tim Lopes ,Milwaukee Brewers,2022,OF
Alexander Palma ,Milwaukee Brewers,2022,OF
Daniel Robertson ,Milwaukee Brewers,2022,SS
Chad Sobotka ,Milwaukee Brewers,2022,RHP
Patrick Weigel ,Milwaukee Brewers,2022,RHP
Eric Yardley ,Milwaukee Brewers,2022,RHP
B.J. Boyd ,Minnesota Twins,2022,OF
Adam Bray ,Minnesota Twins,2022,RHP
Jose Brito ,Minnesota Twins,2022,RHP
Beau Burrows ,Minnesota Twins,2022,RHP
Dawon Burt ,Minnesota Twins,2022,SS
Trey Cabbage ,Minnesota Twins,2022,OF
Leobaldo Cabrera ,Minnesota Twins,2022,OF
Jonathan Cheshire ,Minnesota Twins,2022,RHP
Jason Garcia ,Minnesota Twins,2022,RHP
Sean Gilmartin ,Minnesota Twins,2022,LHP
Joseph Harvey ,Minnesota Twins,2022,RHP
Eiker Huizi ,Minnesota Twins,2022,RHP
Sherman Johnson ,Minnesota Twins,2022,2B
Adam Lau ,Minnesota Twins,2022,RHP
Robinson Leyer ,Minnesota Twins,2022,RHP
Hector Lujan ,Minnesota Twins,2022,RHP
Drew Maggi ,Minnesota Twins,2022,SS
Erik Manoah ,Minnesota Twins,2022,RHP
Robert Milacki ,Minnesota Twins,2022,RHP
Matt Mullenbach ,Minnesota Twins,2022,RHP
Michael Nittoli ,Minnesota Twins,2022,RHP
Chris Nunn ,Minnesota Twins,2022,LHP
Mitchell Osnowitz ,Minnesota Twins,2022,RHP
Samuel Perez ,Minnesota Twins,2022,LHP
Ramon Pineda ,Minnesota Twins,2022,RHP
Zaquiel Puentes ,Minnesota Twins,2022,RHP
Orlando Rodriguez ,Minnesota Twins,2022,RHP
Chandler Shepherd ,Minnesota Twins,2022,RHP
Drew Stankiewicz ,Minnesota Twins,2022,SS
Carlos Suniaga ,Minnesota Twins,2022,RHP
Tomas Telis ,Minnesota Twins,2022,C
Damek Tomscha ,Minnesota Twins,2022,3B
Nick Vincent ,Minnesota Twins,2022,RHP
Justin Washington ,Minnesota Twins,2022,OF
Tyler Watson ,Minnesota Twins,2022,LHP
Aaron Whitefield ,Minnesota Twins,2022,OF
Breckin Williams ,Minnesota Twins,2022,RHP
Cristian Alvarado ,Oakland Athletics,2022,RHP
Argenis Angulo ,Oakland Athletics,2022,RHP
Homer Bailey ,Oakland Athletics,2022,RHP
Matt Blackham ,Oakland Athletics,2022,RHP
Ben Bracewell ,Oakland Athletics,2022,RHP
Edwin Diaz ,Oakland Athletics,2022,SS
Montana DuRapau ,Oakland Athletics,2022,RHP
Zack Erwin ,Oakland Athletics,2022,LHP
Kyle Friedrichs ,Oakland Athletics,2022,RHP
Jorge Gordon ,Oakland Athletics,2022,C
Brett Graves ,Oakland Athletics,2022,RHP
Reymin Guduan ,Oakland Athletics,2022,LHP
Jesus Lage ,Oakland Athletics,2022,RHP
Eric Marinez ,Oakland Athletics,2022,RHP
Jose Mora ,Oakland Athletics,2022,RHP
Jose Morban ,Oakland Athletics,2022,RHP
James Naile ,Oakland Athletics,2022,RHP
Francisco Pena ,Oakland Athletics,2022,C
Carlos Perez ,Oakland Athletics,2022,C
Zac Reininger ,Oakland Athletics,2022,RHP
Jose Rivas ,Oakland Athletics,2022,C
Jhonny Santos ,Oakland Athletics,2022,OF
Trey Supak ,Oakland Athletics,2022,RHP
Oscar Tovar ,Oakland Athletics,2022,RHP
Mikey White ,Oakland Athletics,2022,SS
Jesus Zambrano ,Oakland Athletics,2022,RHP
Edgar Cabral ,Philadelphia Phillies,2022,C
C.J. Chatham ,Philadelphia Phillies,2022,SS
Grenny Cumana ,Philadelphia Phillies,2022,UTL
Rodolfo Duran ,Philadelphia Phillies,2022,C
Nick Fanti ,Philadelphia Phillies,2022,LHP
Arquimedes Gamboa ,Philadelphia Phillies,2022,IF
Taylor Guerrieri ,Philadelphia Phillies,2022,RHP
Tyler Heineman ,Philadelphia Phillies,2022,C
Mauricio Llovera ,Philadelphia Phillies,2022,RHP
David Paulino ,Philadelphia Phillies,2022,RHP
Cornelius Randolph ,Philadelphia Phillies,2022,OF
T.J. Rivera,Philadelphia Phillies,2022,2B
Brock Stassi ,Philadelphia Phillies,2022,1B
Charlie Tilson ,Philadelphia Phillies,2022,OF
Aneurys Zabala ,Philadelphia Phillies,2022,RHP
Alex Aquino ,Pittsburgh Pirates,2022,RHP
Tyler Bashlor ,Pittsburgh Pirates,2022,RHP
Christian Bethancourt ,Pittsburgh Pirates,2022,C
Chase Dejong ,Pittsburgh Pirates,2022,RHP
Raul Hernandez ,Pittsburgh Pirates,2022,C
Kyle Keller ,Pittsburgh Pirates,2022,RHP
Nathan Kirby ,Pittsburgh Pirates,2022,LHP
James Marvel ,Pittsburgh Pirates,2022,RHP
Oddy Nunez ,Pittsburgh Pirates,2022,LHP
Connor Overton ,Pittsburgh Pirates,2022,RHP
Shea Spitzbarth ,Pittsburgh Pirates,2022,RHP
Andrew Susac ,Pittsburgh Pirates,2022,C
Mike Ahmed ,Seattle Mariners,2022,IF
Jake Bauers ,Seattle Mariners,2022,1B
A.J. Bumpass ,Seattle Mariners,2022,OF
Jordan Cowan ,Seattle Mariners,2022,SS
Nick Duron ,Seattle Mariners,2022,RHP
Nate Fisher ,Seattle Mariners,2022,LHP
Darin Gillies ,Seattle Mariners,2022,RHP
Moises Gomez ,Seattle Mariners,2022,RHP
Justin Grimm ,Seattle Mariners,2022,RHP
Alen Hanson ,Seattle Mariners,2022,SS
Eric Jones ,Seattle Mariners,2022,C
Caleb Joseph ,Seattle Mariners,2022,C
Anthony Lepre ,Seattle Mariners,2022,C
Luis Liberato ,Seattle Mariners,2022,OF
Shed Long ,Seattle Mariners,2022,2B
Ian McKinney ,Seattle Mariners,2022,LHP
Steven Moyers ,Seattle Mariners,2022,LHP
Fausto Pediet ,Seattle Mariners,2022,RHP
Matt Pierpont ,Seattle Mariners,2022,RHP
Jack Reinheimer ,Seattle Mariners,2022,SS
Alejandro Requena ,Seattle Mariners,2022,RHP
Joseph Rosa ,Seattle Mariners,2022,SS
Brian Schlitter ,Seattle Mariners,2022,RHP
Kennie Taylor ,Seattle Mariners,2022,OF
Dillon Thomas ,Seattle Mariners,2022,OF
Sam Travis ,Seattle Mariners,2022,1B
Franklin Van Gurp ,Seattle Mariners,2022,RHP
Logan Verrett ,Seattle Mariners,2022,RHP
Zach Vincej ,Seattle Mariners,2022,IF
Zack Weiss ,Seattle Mariners,2022,RHP
Kyle Wilcox ,Seattle Mariners,2022,RHP
Jantzen Witte ,Seattle Mariners,2022,3B
Asher Wojciechowski ,Seattle Mariners,2022,RHP
Stephen Wrenn ,Seattle Mariners,2022,OF
Daniel Zamora ,Seattle Mariners,2022,LHP
Chase Anderson ,Texas Rangers,2022,RHP
Blake Bass ,Texas Rangers,2022,RHP
Wes Benjamin ,Texas Rangers,2022,LHP
Buck Farmer ,Texas Rangers,2022,RHP
Joe Gatto ,Texas Rangers,2022,RHP
Pedro Gonzalez ,Texas Rangers,2022,OF
Trey Hair ,Texas Rangers,2022,2B
Elier Hernandez ,Texas Rangers,2022,OF
John Hicks ,Texas Rangers,2022,C
David Kubiak ,Texas Rangers,2022,RHP
Jake Lemoine ,Texas Rangers,2022,RHP
Domingo Leyba ,Texas Rangers,2022,2B
Jesus Linarez ,Texas Rangers,2022,RHP
Trace Loehr ,Texas Rangers,2022,SS
Justin Marsden ,Texas Rangers,2022,RHP
Sal Mendez ,Texas Rangers,2022,LHP
Melvin Novoa ,Texas Rangers,2022,C
Luis Ortiz ,Texas Rangers,2022,RHP
Jordan Procyshen ,Texas Rangers,2022,C
Isaias Quiroz ,Texas Rangers,2022,C
Anderson Tejeda ,Texas Rangers,2022,SS
Curtis Terry ,Texas Rangers,2022,1B
Jared Walker ,Texas Rangers,2022,3B
Collin Wiles ,Texas Rangers,2022,RHP
