IDfg,Season,Age,G,TBF
10954,2018,30,32,835
2036,2015,27,33,890
2036,2014,26,27,749
10603,2017,28,32,851
3137,2018,33,33,866
2429,2017,31,29,777
2429,2014,28,34,951
4153,2015,29,33,870
3184,2015,29,32,888
8700,2018,35,34,833
3137,2015,30,33,899
3137,2017,32,31,780
11530,2016,23,29,737
7450,2014,28,32,855
2036,2016,28,21,544
10603,2018,29,27,617
11762,2016,23,31,744
10131,2017,28,28,701
13125,2018,27,32,799
12703,2018,27,28,717
9323,2018,28,33,800
9434,2015,27,33,911
3137,2016,31,34,902
3137,2014,29,33,904
4772,2014,28,34,912
3184,2014,28,34,1009
15890,2017,23,31,783
10603,2015,26,31,854
2429,2015,29,32,886
2429,2018,32,33,842
16149,2018,25,33,831
15890,2018,24,32,780
6632,2017,30,32,798
4930,2014,30,32,885
8700,2016,33,34,903
4505,2014,28,32,800
1943,2015,31,32,843
10603,2016,27,32,907
4153,2014,28,25,614
6632,2018,31,32,784
2717,2016,27,33,890
13125,2015,24,32,832
6345,2015,26,34,868
10603,2014,25,26,685
2233,2014,32,32,898
6893,2016,30,32,881
5524,2015,25,32,869
2429,2016,30,32,860
1943,2017,33,32,801
10954,2015,27,30,751
11423,2016,27,32,837
4930,2015,31,32,828
11423,2014,25,32,830
6632,2015,28,30,730
10547,2017,28,29,728
13543,2018,25,31,700
15764,2016,27,31,805
1943,2014,30,32,821
10131,2014,25,34,868
4972,2015,31,32,880
16149,2017,24,27,693
6345,2017,28,34,852
4972,2014,30,30,829
6893,2014,28,34,961
3184,2016,30,35,951
11828,2017,28,24,552
3254,2014,29,33,879
2036,2017,29,27,679
9803,2018,29,32,808
5524,2016,26,34,912
9784,2014,26,26,678
11423,2015,26,32,862
4930,2016,32,32,796
12049,2016,26,31,745
12808,2018,27,32,810
11762,2018,25,25,644
10310,2018,28,29,744
16256,2018,25,33,844
8700,2017,34,33,849
10954,2017,29,31,827
15038,2018,23,33,817
6893,2015,29,32,866
10131,2016,27,24,598
14444,2014,27,26,631
11713,2015,26,29,755
11423,2017,28,32,790
7872,2015,28,33,823
12768,2015,25,31,831
11674,2018,26,32,785
4806,2016,36,20,439
7448,2017,31,32,827
10811,2018,26,31,744
3254,2017,32,32,847
225,2014,35,32,857
11828,2018,29,28,645
7448,2015,29,31,758
13074,2017,30,31,766
10197,2015,24,33,860
5524,2014,24,33,873
2520,2014,27,33,866
5372,2015,26,27,668
13218,2017,24,25,676
14916,2016,24,29,712
12572,2018,30,68,315
10954,2014,26,22,565
3542,2017,28,24,609
11828,2016,27,20,511
7531,2015,28,32,859
4153,2016,30,31,795
11490,2016,23,30,790
12768,2014,24,33,899
1507,2015,36,33,896
15467,2018,26,29,686
9434,2014,26,29,808
10131,2015,26,23,523
13074,2014,27,22,605
4776,2016,29,27,668
14862,2017,27,26,627
3200,2016,33,30,748
14710,2018,24,73,280
4897,2014,30,32,777
6797,2014,23,33,884
7059,2014,32,34,939
12049,2018,28,33,812
13431,2017,26,33,834
4371,2016,29,32,772
13125,2017,26,33,849
13431,2014,23,26,534
2036,2018,30,26,650
3284,2014,30,22,514
3096,2017,29,65,258
8753,2016,29,34,855
8753,2014,27,31,798
11486,2017,25,28,665
4972,2016,32,32,848
11682,2015,23,31,755
3201,2015,31,31,773
7448,2014,28,27,653
14916,2017,25,20,461
13431,2016,25,32,855
11486,2016,24,32,776
3543,2015,30,18,469
9132,2014,24,33,854
11682,2016,24,31,809
8700,2014,31,32,893
3200,2014,31,31,817
9132,2015,25,27,673
5401,2017,29,34,546
6895,2017,29,25,569
11682,2017,25,32,858
9434,2018,30,34,874
6632,2014,27,40,529
12049,2015,25,32,739
11674,2017,25,25,587
5372,2016,27,32,756
6655,2017,29,67,254
13781,2017,26,27,614
4676,2017,33,25,617
4505,2015,29,33,831
14168,2018,24,32,797
14078,2017,25,30,701
13218,2016,23,26,647
7410,2015,32,32,717
3283,2014,39,32,820
7441,2014,28,71,279
14107,2016,25,30,757
13050,2015,25,31,785
19374,2018,23,24,541
8700,2015,32,20,535
3096,2016,28,71,251
11426,2017,28,32,740
7410,2018,35,31,733
2717,2014,25,32,840
5867,2015,25,30,757
9323,2017,27,33,826
2520,2015,28,31,751
7531,2014,27,25,619
11426,2016,27,31,703
12664,2016,25,33,811
6797,2016,25,30,758
6216,2014,26,70,341
18498,2016,28,32,716
15764,2014,25,20,542
8185,2016,31,24,656
4930,2017,33,32,763
3542,2016,27,42,731
13781,2014,23,35,694
1507,2016,37,29,748
6785,2016,31,70,275
6345,2014,25,32,822
7410,2017,34,25,626
10130,2017,29,31,782
11762,2015,22,24,603
6397,2015,25,28,700
6345,2016,27,33,850
15423,2018,27,30,749
10954,2016,28,24,604
6216,2016,28,73,299
13764,2017,22,66,249
7410,2016,33,32,796
12703,2017,26,32,749
4676,2018,34,30,695
13048,2014,33,28,709
9784,2015,27,32,865
375,2014,41,31,846
6986,2014,29,33,846
12917,2017,24,28,698
2233,2016,34,33,847
8753,2017,30,32,776
1451,2014,36,33,876
13071,2015,29,31,792
10123,2015,27,32,821
7448,2016,30,32,765
8137,2015,28,20,510
2520,2018,31,31,700
3830,2016,33,32,817
13074,2016,29,17,416
14120,2017,23,22,512
15454,2018,25,33,694
16149,2016,23,20,483
7024,2016,32,24,566
15010,2017,25,76,309
10233,2014,26,54,202
4772,2015,29,31,826
13183,2017,24,33,817
3200,2017,34,33,864
13048,2016,35,33,836
1943,2018,34,33,839
16977,2018,26,31,701
14168,2017,23,26,616
3990,2015,31,34,850
11855,2015,24,28,693
7531,2016,29,33,796
10123,2014,26,31,757
13781,2015,24,32,801
8779,2015,28,32,831
19427,2018,23,20,485
12768,2017,27,27,678
1118,2016,32,29,723
16137,2016,23,28,715
10233,2016,28,59,222
12763,2016,25,48,408
1259,2015,35,33,861
11855,2014,23,31,782
7872,2014,27,31,811
8173,2015,29,33,793
15764,2017,28,30,752
3374,2015,31,32,791
12703,2016,25,35,811
10732,2014,23,32,786
14107,2017,26,34,816
10123,2018,30,32,826
4662,2014,30,32,836
1118,2017,33,33,806
15734,2018,22,41,583
512,2015,38,26,699
16511,2017,24,29,649
404,2016,35,30,768
11189,2018,26,31,630
18719,2016,33,76,313
14212,2018,24,55,306
4682,2017,36,71,235
14524,2018,24,59,223
12183,2015,26,70,286
5279,2016,28,30,715
4153,2017,31,30,707
1507,2014,35,31,833
375,2015,42,33,815
10587,2016,27,32,814
5669,2014,24,30,772
10021,2018,30,28,640
5867,2016,26,25,584
13183,2016,23,28,682
6562,2014,26,27,681
14120,2018,24,25,527
13361,2016,25,22,547
11836,2017,24,28,684
10130,2016,28,30,757
3340,2014,30,27,680
18498,2018,30,39,532
6398,2015,25,48,492
3284,2018,34,25,553
12049,2017,27,24,570
13125,2016,25,21,506
16977,2017,25,31,642
5448,2015,31,30,672
6397,2018,28,32,711
14120,2015,21,22,520
6345,2018,29,27,638
7550,2014,27,73,274
10233,2015,27,65,278
3240,2016,28,69,254
1581,2014,27,61,236
2717,2018,29,33,808
3184,2018,32,30,722
375,2016,43,34,791
15764,2018,29,27,635
14916,2018,26,31,743
6632,2016,29,25,599
10310,2014,24,32,794
15038,2017,22,29,701
10131,2018,29,22,544
4424,2014,27,30,786
13781,2018,27,33,637
9434,2016,28,26,701
10190,2018,26,24,533
4141,2018,31,36,727
7754,2015,30,31,761
6216,2015,27,74,332
15552,2017,26,40,253
12880,2016,26,19,478
10586,2016,27,80,304
6655,2014,26,63,244
13071,2014,28,31,772
2608,2018,30,35,796
14862,2018,28,33,791
9434,2017,29,23,584
5279,2014,26,34,871
2608,2017,29,32,765
1943,2016,32,26,667
4806,2017,37,25,552
15764,2015,26,24,609
1994,2016,29,32,684
10130,2014,26,33,902
8044,2014,31,30,790
10314,2015,25,34,666
13774,2018,24,24,548
3254,2015,30,32,910
4538,2015,32,31,710
14107,2018,27,31,776
10130,2018,30,31,784
6902,2016,25,33,855
5702,2016,31,20,492
11760,2014,25,28,618
404,2018,37,29,665
17479,2018,22,28,615
11189,2016,24,24,551
4538,2017,34,32,804
4897,2015,31,31,763
16400,2018,24,32,799
5203,2015,31,30,714
12076,2017,25,73,300
11486,2015,23,23,545
6785,2017,32,57,244
6483,2014,28,67,275
7196,2014,28,65,240
14078,2015,23,30,762
6902,2017,26,32,811
6562,2017,29,29,742
3254,2016,31,32,829
15873,2017,25,29,692
8782,2017,30,28,704
1994,2017,30,31,785
6570,2014,28,32,803
7448,2018,32,32,746
15689,2018,25,31,708
4972,2018,34,32,806
8753,2018,31,31,760
15440,2018,27,31,709
7274,2018,34,73,317
13273,2018,28,33,503
14975,2017,24,31,680
3551,2017,33,32,858
9029,2015,27,43,534
7466,2017,31,70,303
10021,2017,29,65,307
13713,2016,26,75,306
9132,2018,28,22,455
4662,2017,33,19,384
12970,2018,25,19,486
6785,2014,29,73,242
3096,2014,26,68,268
4776,2014,27,27,543
13164,2018,25,27,553
12808,2017,26,27,502
13125,2014,23,22,571
9388,2017,32,26,585
3542,2014,25,31,606
13050,2016,26,20,507
11682,2018,26,33,521
6316,2016,29,64,352
12972,2016,23,19,447
12910,2015,24,69,298
11530,2015,22,11,265
15440,2017,26,26,605
5372,2014,25,13,290
4020,2017,32,60,354
5867,2017,27,23,439
3855,2014,24,24,623
3240,2015,27,64,253
12076,2018,26,70,296
5114,2016,26,78,321
11384,2017,27,69,256
6033,2016,26,72,283
17780,2018,23,70,263
225,2015,36,32,827
10304,2014,24,30,766
1890,2016,27,33,838
4338,2016,26,27,669
6986,2016,31,33,818
16256,2017,24,33,688
2717,2017,28,33,885
4153,2018,32,31,724
9460,2017,28,33,769
7441,2015,29,69,251
10587,2015,26,20,502
12918,2016,23,26,638
4682,2014,33,71,255
14107,2014,23,20,476
6249,2018,30,21,450
15873,2016,24,25,594
13164,2017,24,25,582
1636,2014,35,13,352
12664,2017,26,24,576
12918,2017,24,63,290
6785,2015,30,60,246
5975,2014,33,66,259
10745,2015,25,68,287
13172,2015,25,70,284
8048,2018,28,54,210
739,2014,35,31,817
16943,2018,25,31,696
10547,2015,26,30,752
5279,2015,27,31,741
15514,2016,25,31,786
8241,2017,32,61,264
10688,2016,27,67,263
12022,2016,26,29,527
14444,2018,31,15,324
1247,2018,32,75,309
14509,2018,26,21,487
14120,2016,22,14,352
10058,2014,23,20,503
1852,2017,36,60,219
14078,2014,22,19,447
8137,2017,30,27,673
1581,2018,31,43,163
4264,2014,29,72,277
17130,2017,27,63,306
6941,2018,34,66,255
15689,2017,24,15,359
14710,2016,22,49,217
4930,2018,34,32,761
8044,2017,34,32,756
404,2017,36,27,623
1245,2014,39,34,914
1118,2015,31,34,725
15873,2018,26,27,654
1245,2015,40,33,884
6397,2014,24,31,719
12703,2015,24,31,744
11836,2015,22,29,706
4538,2014,31,30,715
6397,2016,26,33,773
13164,2015,22,21,522
10811,2017,25,29,692
2047,2015,34,26,635
8779,2016,29,30,711
5114,2018,28,70,302
6661,2015,26,43,457
12880,2018,28,32,737
11760,2016,27,30,738
14078,2016,24,27,606
3321,2015,32,68,257
13543,2016,23,19,401
5867,2014,24,20,474
6895,2015,27,27,640
8782,2015,28,31,804
2608,2016,28,34,632
9073,2018,31,65,250
4696,2016,30,71,274
8782,2014,27,19,506
3815,2014,26,16,420
13543,2017,24,24,547
11530,2014,21,8,205
12890,2017,25,70,323
3132,2018,33,72,261
11713,2016,27,17,402
12910,2014,23,44,166
10233,2018,30,55,212
3281,2017,33,59,214
4264,2016,31,75,270
7005,2018,29,77,292
1581,2017,30,53,197
12910,2017,26,63,247
13449,2018,27,72,260
9817,2015,32,70,230
10430,2018,28,69,317
2047,2014,33,32,768
1757,2014,33,32,776
18498,2017,29,29,557
4806,2018,38,25,547
4972,2017,33,24,614
6627,2016,30,71,311
3990,2016,32,34,853
13048,2015,34,20,516
921,2014,38,31,789
8362,2014,28,23,604
16137,2015,22,26,607
7608,2015,28,24,543
11589,2018,26,31,712
2717,2015,26,28,737
9490,2018,30,73,299
15552,2018,27,63,298
512,2014,37,34,935
14682,2017,24,29,716
3374,2016,32,29,638
11713,2018,29,32,663
13287,2015,25,16,406
8241,2015,30,60,250
9323,2015,25,16,357
11674,2016,24,18,418
4020,2014,29,39,461
7942,2016,28,24,567
2391,2014,26,64,255
13764,2016,21,72,288
6216,2018,30,66,272
6941,2017,33,59,232
16350,2018,24,17,415
9111,2017,27,72,311
7555,2017,30,69,262
17130,2015,25,18,395
6902,2015,24,14,339
3192,2016,31,66,255
11423,2018,29,32,739
7312,2014,28,33,719
10130,2015,27,30,778
11855,2016,25,32,816
5221,2018,33,32,662
5448,2014,30,32,621
8173,2014,28,32,817
14457,2016,26,25,584
3543,2018,33,16,393
12049,2014,24,13,321
1246,2016,30,58,243
3201,2014,30,29,691
12447,2017,27,19,436
2391,2015,27,72,281
9346,2017,32,45,170
7754,2014,29,14,274
15423,2015,24,18,438
7385,2016,31,62,269
7731,2017,30,76,291
14765,2016,19,18,336
10190,2014,22,18,464
5524,2017,27,17,450
10354,2018,27,39,439
3815,2015,27,24,494
12447,2018,28,54,410
10745,2017,27,50,202
3096,2015,27,54,200
7738,2014,25,32,838
9425,2014,30,25,662
7754,2016,31,31,724
12768,2018,28,30,582
8223,2015,27,31,750
1245,2017,42,31,815
13119,2015,25,21,501
13619,2018,25,30,758
3580,2015,34,21,553
7024,2017,33,27,684
5640,2014,29,75,278
14696,2015,22,68,243
1051,2014,33,32,852
3200,2015,32,17,457
5524,2018,28,21,551
3184,2017,31,16,317
5702,2018,33,31,611
3548,2015,26,58,261
4301,2015,27,74,244
4869,2018,28,38,534
6562,2018,30,28,661
9111,2016,26,82,364
10233,2017,29,52,210
8110,2017,29,79,312
14107,2015,24,25,470
17130,2016,26,37,325
5224,2017,32,71,254
13763,2017,25,65,279
13942,2017,27,22,341
9895,2016,29,29,350
13218,2018,25,24,558
5114,2015,25,76,308
6941,2014,30,48,182
8350,2016,29,67,278
12304,2015,26,18,361
7550,2017,30,62,229
4235,2014,31,34,888
2155,2015,34,31,820
10732,2015,24,30,664
7754,2018,33,31,714
2233,2017,35,24,546
6797,2015,24,33,843
18356,2018,21,26,537
7731,2016,29,52,513
15488,2017,22,36,564
10811,2016,24,22,525
4505,2016,30,19,450
6435,2014,26,18,458
8241,2018,33,69,283
9884,2014,27,31,781
12638,2015,27,27,621
16918,2017,23,13,252
7593,2014,23,22,546
17186,2017,24,21,485
12638,2016,28,22,417
12972,2015,22,16,314
11426,2015,26,53,357
5003,2014,27,73,313
12703,2014,23,26,663
15761,2018,23,68,267
13690,2017,23,16,384
9425,2017,33,18,392
13475,2017,24,22,460
7293,2016,36,69,289
8241,2014,29,63,259
18655,2018,24,65,260
5070,2014,28,54,231
2895,2014,26,22,377
13431,2018,27,19,449
4264,2015,30,78,293
12183,2017,28,69,282
14696,2018,25,54,212
12572,2017,29,72,325
13403,2018,28,19,389
13194,2017,27,44,517
7441,2016,30,45,176
9227,2015,40,43,160
3656,2016,33,65,266
12910,2016,25,69,286
11762,2017,24,7,124
3548,2016,27,53,275
2155,2014,33,32,818
9492,2014,29,28,687
4538,2016,33,30,692
10302,2015,27,31,746
7410,2014,31,30,673
3132,2014,29,78,305
3284,2015,31,25,660
13758,2016,25,26,596
13911,2018,28,56,228
12763,2017,26,62,316
6283,2014,31,29,765
8779,2014,27,33,866
2929,2015,27,30,736
3542,2018,29,28,692
3543,2014,29,28,737
15454,2017,24,26,584
8180,2015,25,81,312
8048,2015,25,76,264
4869,2017,27,44,540
3542,2015,26,30,588
6329,2015,30,30,768
16918,2018,24,30,609
7531,2018,31,58,283
4676,2014,30,26,666
10123,2016,28,25,653
3830,2014,31,27,695
3840,2014,31,74,238
2660,2015,28,63,214
5448,2018,34,62,377
8779,2018,31,16,338
6655,2018,30,63,247
6499,2015,28,70,265
13758,2015,24,10,242
13699,2017,23,16,357
4371,2018,31,19,370
494,2017,40,61,231
4138,2014,30,42,343
14825,2018,26,27,542
12760,2017,26,34,550
10756,2016,27,50,256
6033,2014,24,70,285
15015,2016,21,12,189
3132,2015,30,77,293
9325,2018,32,72,298
13696,2016,22,8,185
13549,2018,28,63,279
11804,2016,27,79,328
6655,2015,27,61,239
6499,2018,31,30,351
19309,2018,25,25,547
521,2015,38,36,140
4141,2014,27,6,145
8350,2015,28,71,277
3840,2016,33,81,258
6984,2017,30,66,295
19249,2018,23,53,231
2391,2018,30,63,250
11682,2014,22,57,386
16086,2017,24,59,256
16159,2018,24,59,214
12803,2015,24,30,118
13764,2015,20,68,271
9460,2016,27,34,792
2072,2014,35,32,864
2520,2017,30,33,776
7450,2015,29,27,651
9761,2015,27,25,586
1259,2014,34,29,762
1994,2018,31,29,683
10430,2017,27,69,315
10430,2016,26,66,313
1051,2015,34,19,448
6893,2017,31,25,648
14361,2017,26,34,692
4505,2017,31,29,713
18300,2018,25,29,665
7059,2018,36,34,871
12183,2014,25,76,279
5358,2018,29,76,261
12863,2018,28,62,265
18679,2018,22,16,321
3340,2016,32,19,461
404,2015,34,29,726
1451,2015,37,29,748
13974,2016,26,70,290
10591,2017,27,58,283
11710,2015,27,75,309
16401,2018,24,18,370
9884,2015,28,54,419
14875,2018,26,16,326
1437,2014,36,53,205
6627,2017,31,67,275
13475,2016,23,14,302
12237,2018,28,69,255
5070,2015,29,54,209
8041,2014,31,63,260
6316,2015,28,23,482
9029,2017,29,46,223
12664,2015,24,8,203
6216,2017,29,66,261
9029,2014,26,69,324
13164,2016,23,20,458
13287,2017,27,14,316
4806,2015,35,4,106
2660,2014,27,66,234
9111,2018,28,69,301
15947,2018,26,59,263
10745,2014,24,72,308
6661,2017,28,65,281
6655,2016,28,57,220
6983,2015,27,58,228
7416,2015,32,57,215
16588,2018,25,60,272
5985,2017,27,26,259
1247,2014,28,75,272
1757,2015,34,32,768
4772,2016,30,25,655
12673,2014,25,29,693
8137,2016,29,32,741
6570,2016,30,33,774
4338,2017,27,33,631
4849,2015,34,36,309
4090,2015,31,64,239
13684,2018,25,26,487
4141,2016,29,22,461
9227,2014,39,64,249
18719,2018,35,73,274
10481,2015,27,73,298
11828,2014,25,13,303
1259,2016,36,19,472
15514,2017,26,19,444
15488,2018,23,23,390
15440,2016,25,20,412
13071,2018,32,26,572
12880,2017,27,17,362
17432,2017,24,23,440
14966,2018,25,69,262
4259,2018,33,57,254
9895,2017,30,60,340
9121,2014,24,19,429
3192,2018,33,61,230
7531,2017,30,12,271
7441,2017,31,59,242
11804,2017,28,74,320
13194,2016,26,60,295
17496,2018,24,43,222
4090,2016,32,59,230
19755,2018,23,10,211
4301,2017,29,65,248
14457,2015,25,15,281
4301,2016,28,66,251
16943,2017,24,19,456
11710,2016,28,73,285
13607,2018,26,58,222
1157,2017,30,61,228
7773,2016,32,67,224
9456,2016,29,67,247
7196,2017,31,61,235
12385,2015,24,8,161
6986,2018,33,22,518
6661,2016,27,57,226
14212,2017,23,35,188
4070,2014,29,65,244
13764,2018,23,38,150
2660,2017,30,73,277
4079,2015,29,61,247
7550,2015,28,39,147
13781,2016,25,14,255
9388,2016,31,30,725
10123,2017,29,29,693
3196,2015,36,34,500
8302,2017,28,27,620
6797,2017,26,32,812
9948,2014,29,75,245
11502,2017,25,21,492
12917,2016,23,36,474
6230,2014,29,32,865
4371,2015,28,27,636
19320,2018,25,26,548
7872,2018,31,31,634
5372,2017,28,17,410
12917,2018,25,31,750
4300,2017,34,63,233
3281,2014,30,76,285
6661,2018,29,70,282
12799,2015,24,15,365
10291,2017,29,73,319
12863,2017,27,70,287
4505,2018,32,25,556
3284,2016,32,35,668
13394,2018,27,54,271
16149,2015,22,13,318
7005,2016,27,72,328
11176,2014,25,20,503
14361,2018,27,47,512
9388,2014,29,25,446
9895,2015,28,24,594
1890,2017,28,32,790
4070,2017,32,69,250
13607,2017,25,73,262
11760,2015,26,12,275
8241,2016,31,62,267
9784,2018,30,16,324
10756,2014,25,15,345
13273,2016,26,22,419
10314,2017,27,37,539
13133,2016,25,61,214
4869,2016,26,49,414
6483,2016,30,62,258
11334,2017,29,50,220
9239,2016,29,62,297
9939,2017,32,72,288
13046,2014,33,13,289
5420,2015,27,52,208
3548,2017,28,70,273
12890,2018,26,66,299
13188,2017,24,21,443
4538,2018,35,39,583
3240,2014,26,71,285
13182,2018,25,64,255
12183,2016,27,67,264
4259,2017,32,64,214
10586,2015,26,55,241
13360,2016,24,45,162
6983,2014,26,65,224
8258,2014,30,61,229
4070,2015,30,76,270
1514,2018,36,50,120
1642,2015,33,60,216
494,2014,37,69,286
8223,2014,26,8,180
15166,2017,20,5,123
16502,2018,26,38,628
6570,2015,29,32,800
4897,2016,32,26,590
13619,2017,24,20,422
1011,2014,36,32,780
13942,2018,28,20,424
13690,2018,24,39,644
8779,2017,30,32,728
3555,2016,32,53,246
13287,2014,24,14,306
12970,2017,24,38,462
4070,2018,33,60,240
7841,2017,33,75,217
3959,2014,28,65,259
16137,2018,25,20,511
2586,2015,36,17,392
3340,2017,33,24,504
3321,2014,31,68,271
4090,2014,30,72,284
6627,2015,29,62,324
3281,2015,31,70,271
14309,2018,25,13,283
8844,2014,28,67,271
13361,2018,27,30,654
3926,2014,30,73,260
3840,2018,35,72,240
14975,2016,23,14,301
13071,2016,30,22,520
12768,2016,26,22,517
8073,2016,29,64,259
6483,2018,32,80,288
12890,2016,24,39,217
4079,2014,28,71,261
2895,2015,27,61,299
14710,2017,23,66,278
8280,2014,30,56,198
3926,2015,31,62,257
15010,2018,26,57,223
